obj,time,org,seed
E,0,E,44738
A,4.07815041549272,N,44738
E,4.85122964977303,E,44738
E,5.64230875297694,A,44738
A,6.91634194553792,N,44738
E,8.63105934943714,A,44738
B,9.65539159379942,N,44738
E,10.7867697612828,E,44738
E,11.3339639306612,B,44738
A,14.4931543068962,N,44738
E,15.4352963162671,A,44738
E,16.1913591330223,E,44738
B,17.8785874485559,N,44738
B,18.6173639145487,N,44738
E,19.4421808362667,B,44738
