obj,time,org,seed
E,0,E,8003
A,1.19553325680405,N,8003
E,2.14127821256045,A,8003
E,5.0888844470075,E,8003
A,6.9573971024779,N,8003
E,7.81200729540159,A,8003
B,9.26920304190051,N,8003
E,9.96164004447377,E,8003
B,12.3244978269666,N,8003
E,14.800698075219,E,8003
B,16.1357770591594,N,8003
A,16.6617004518228,N,8003
E,18.0345571291999,A,8003
E,19.5975049626158,E,8003
