obj,time,org,seed
E,0,E,9121
B,1.04520008768854,N,9121
B,2.58499099910699,N,9121
A,4.08903257713703,N,9121
A,6.23829719811298,N,9121
E,9.3819111960688,E,9121
A,12.2787433469299,N,9121
E,14.8054782737903,E,9121
B,16.7241835868989,N,9121
