obj,time,org
E,0,E
A,1.85531384241767,N
E,2.64201885855499,E
E,3.38031810472768,A
E,7.30549859791553,E
A,8.46969427075237,N
E,9.60306658188784,A
B,11.0211168162059,N
A,12.383211968001,N
E,12.8661611574077,B
E,13.8712708070099,A
B,15.0174697604962,N
E,16.460944937535,B
B,18.0762388627045,N
E,19.1354976514167,E
