obj,time,org
E,0,E
B,0.683704975061119,N
A,1.41465035709552,N
E,2.56552906713861,A
A,8.77273705834523,N
E,9.81798001232864,A
E,10.6062181305126,E
B,12.0953119152691,N
A,14.2456392566673,N
E,15.7844610889574,A
B,17.4496806648094,N
E,19.6608537721678,E
