obj,time,org
E,0,E
B,0.515341362915933,N
E,5.66620832010461,E
A,6.5371608408168,N
E,7.40077028072291,A
A,7.94127637986094,N
E,9.4043484362513,A
E,10.6056447847383,E
A,12.3780685057864,N
E,13.9861472570919,A
E,15.1309327293031,E
B,15.8641052991152,N
B,16.631098324433,N
