obj,time,org
E,0,E
A,2.10983463097364,N
E,3.63093178866428,A
E,4.30236631426336,E
A,7.21396405249834,N
A,7.74973503313959,N
E,8.20712802049118,A
E,8.77593567278884,A
B,10.4995671194047,N
E,11.2469331695107,B
B,13.178519429639,N
E,14.7732340337461,B
B,15.4686332214624,N
E,16.4064557403514,B
E,18.3059486268553,E
E,19.3849418912969,E
